id,value,color
 
" .Tobacco use behaviors, prevalence, and outcomes"
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use status",,#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use status.Cigarette smoking","17",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use status.Substance use","16",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use status.Initiation of any tobacco products","5",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use status.Current use of any tobacco product","3",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use status.E-cigarette use","2",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use status.Never smokers","1",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use prevalence",,#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use prevalence.Prevalence","16",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco use prevalence.Rate","9",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco cessation",,#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco cessation.Quitting behavior","16",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco cessation.Quit attempt","4",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco cessation.Quit rate","3",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco cessation.Relapse","2",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Tobacco cessation.Advice to quit","1",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Perception and belief",,#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Perception and belief.Risk","14",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Perception and belief.Addiction","2",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Perception and belief.Appeal","1",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Health and disease",,#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Health and disease.Cancer","3",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Health and disease.Mortality","2",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Health and disease.Cardiovascular disease","1",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Health and disease.Chronic obstructive pulmonary disease","1",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Health and disease.Heart disease","1",#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Exposure to tobacco-related or anti-tobacco content, and exposure to secondhand or thirdhand smoking",,#b9db57
" .Tobacco use behaviors, prevalence, and outcomes.Exposure to tobacco-related or anti-tobacco content, and exposure to secondhand or thirdhand smoking.Exposure","5",#b9db57
" .Tobacco products"
" .Tobacco products.Noncombustible tobacco products",,#c957db
" .Tobacco products.Noncombustible tobacco products.E-cigarette","8",#c957db
" .Tobacco products.Noncombustible tobacco products.Smokeless tobacco","4",#c957db
" .Tobacco products.Noncombustible tobacco products.Snus","1",#c957db
" .Tobacco products.Combustible tobacco products",,#c957db
" .Tobacco products.Combustible tobacco products.Cigarette","15",#c957db
" .Tobacco products.Combustible tobacco products.Tobacco product","7",#c957db
" .Tobacco products.Combustible tobacco products.Cigar","5",#c957db
" .Tobacco products.Combustible tobacco products.Hookah","3",#c957db
" .Tobacco products.Combustible tobacco products.Combustible tobacco","1",#c957db
" .Tobacco characteristics"
" .Tobacco characteristics.Flavor",,#5784db
" .Tobacco characteristics.Flavor.Alcohol","5",#5784db
" .Tobacco characteristics.Flavor.Menthol","1",#5784db
" .Tobacco characteristics.Flavor.Nonmenthol","1",#5784db
" .Tobacco characteristics.Flavor.Flavor","1",#5784db
" .Tobacco characteristics.Chemical",,#5784db
" .Tobacco characteristics.Chemical.Nicotine","7",#5784db
" .Tobacco characteristics.Chemical.Additive","2",#5784db
" .Tobacco characteristics.Chemical.Dose","1",#5784db
" .Relation statement"
" .Relation statement.Relation terms",,#f19322
" .Relation statement.Relation terms.Comparison","26",#f19322
" .Relation statement.Relation terms.Association","23",#f19322
" .Relation statement.Relation terms.Correlation","6",#f19322
" .Population characteristics"
" .Population characteristics.Socioeconomic status",,#add8e6
" .Population characteristics.Socioeconomic status.Demographics","8",#add8e6
" .Population characteristics.Socioeconomic status.Sociodemographic factors","8",#add8e6
" .Population characteristics.Socioeconomic status.Socioeconomic status","2",#add8e6
" .Population characteristics.Socioeconomic status.Low-income populations","2",#add8e6
" .Population characteristics.Socioeconomic status.People living in poverty","2",#add8e6
" .Population characteristics.Socioeconomic status.Socioeconomically disadvantaged individuals","1",#add8e6
" .Population characteristics.Socioeconomic status.Education attainment","1",#add8e6
" .Population characteristics.Socioeconomic status.Marital status","1",#add8e6
" .Population characteristics.Sexual and gender minority populations",,#add8e6
" .Population characteristics.Sexual and gender minority populations.Bisexual","21",#add8e6
" .Population characteristics.Sexual and gender minority populations.Lesbian","19",#add8e6
" .Population characteristics.Sexual and gender minority populations.Gay","19",#add8e6
" .Population characteristics.Sexual and gender minority populations.Transgender individuals","13",#add8e6
